LABEL_STAGE,MQ3_PCT,MQ5_PCT,MQ135_PCT,Temp_C_PCT,Hum_PCT_PCT,hue,saturation,value,contrast,homogeneity,energy,correlation,hist_r_0,hist_r_1,hist_r_2,hist_r_3,hist_r_4,hist_r_5,hist_r_6,hist_r_7,hist_r_8,hist_r_9,hist_r_10,hist_r_11,hist_r_12,hist_r_13,hist_r_14,hist_r_15,hist_r_16,hist_r_17,hist_r_18,hist_r_19,hist_r_20,hist_r_21,hist_r_22,hist_r_23,hist_r_24,hist_r_25,hist_r_26,hist_r_27,hist_r_28,hist_r_29,hist_r_30,hist_r_31,hist_g_0,hist_g_1,hist_g_2,hist_g_3,hist_g_4,hist_g_5,hist_g_6,hist_g_7,hist_g_8,hist_g_9,hist_g_10,hist_g_11,hist_g_12,hist_g_13,hist_g_14,hist_g_15,hist_g_16,hist_g_17,hist_g_18,hist_g_19,hist_g_20,hist_g_21,hist_g_22,hist_g_23,hist_g_24,hist_g_25,hist_g_26,hist_g_27,hist_g_28,hist_g_29,hist_g_30,hist_g_31,hist_b_0,hist_b_1,hist_b_2,hist_b_3,hist_b_4,hist_b_5,hist_b_6,hist_b_7,hist_b_8,hist_b_9,hist_b_10,hist_b_11,hist_b_12,hist_b_13,hist_b_14,hist_b_15,hist_b_16,hist_b_17,hist_b_18,hist_b_19,hist_b_20,hist_b_21,hist_b_22,hist_b_23,hist_b_24,hist_b_25,hist_b_26,hist_b_27,hist_b_28,hist_b_29,hist_b_30,hist_b_31
fresh_day1,0.920293862,0.994214,0.565138887,0.201939418,0.175057599,47.7982,30.7236,170.5161,0.917,0.8374,0.1405,0.9988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,68.0,61.0,226.0,408.0,445.0,463.0,505.0,664.0,1155.0,2987.0,12531.0,9874.0,5982.0,15678.0,13926.0,486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,70.0,84.0,252.0,352.0,472.0,443.0,598.0,793.0,1897.0,3319.0,8926.0,12223.0,4498.0,9703.0,20039.0,1794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,108.0,569.0,1509.0,4718.0,6079.0,1749.0,1440.0,2369.0,575.0,464.0,1488.0,8988.0,6357.0,4192.0,11348.0,13404.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.892645549,-1.083856246,-0.423344112,-0.171948415,-0.22973554,45.2479,26.7379,174.2709,7.1161,0.7765,0.1342,0.9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,94.0,80.0,197.0,383.0,631.0,565.0,598.0,771.0,1052.0,1209.0,6062.0,14247.0,5103.0,8573.0,18832.0,6413.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,113.0,145.0,236.0,440.0,602.0,703.0,827.0,904.0,1007.0,1692.0,4962.0,14504.0,4834.0,7191.0,16674.0,9904.0,755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,157.0,506.0,972.0,1572.0,2523.0,4726.0,3584.0,2108.0,1607.0,894.0,433.0,6083.0,9134.0,3627.0,6889.0,15754.0,4911.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,0.416699581,0.578599951,0.148935519,0.065980206,0.017638045,45.2775,28.7077,146.8507,1.5576,0.8196,0.1378,0.9979,0.0,0.0,0.0,0.0,0.0,0.0,48.0,97.0,110.0,315.0,610.0,653.0,640.0,804.0,1166.0,1345.0,11710.0,10220.0,6899.0,18916.0,10413.0,1590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,127.0,210.0,351.0,619.0,729.0,886.0,966.0,1113.0,1897.0,8107.0,13485.0,6058.0,13052.0,15834.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,207.0,675.0,1233.0,2211.0,4229.0,4875.0,2470.0,1645.0,1120.0,539.0,8953.0,7442.0,5080.0,14691.0,10039.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.489770124,-0.252628148,-0.267267849,-0.205938219,-0.094804493,45.0083,32.1332,171.2912,2.4048,0.8029,0.111,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,96.0,70.0,111.0,198.0,231.0,374.0,1006.0,1968.0,2733.0,4085.0,9002.0,11574.0,4121.0,9589.0,12619.0,4339.0,1150.0,1381.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,87.0,76.0,130.0,199.0,262.0,384.0,1022.0,1840.0,4110.0,4867.0,7290.0,10219.0,4260.0,7134.0,13582.0,6755.0,1990.0,1288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,128.0,335.0,893.0,2448.0,6413.0,4268.0,2338.0,2875.0,2270.0,2258.0,1658.0,5730.0,7504.0,3572.0,7215.0,11030.0,4487.0,87.0,22.0,1.0,0.0,0.0,0.0,0.0
fresh_day1,1.121731574,1.40982805,0.773240572,0.371888433,0.287500138,50.2339,29.3251,174.8716,6.2457,0.721,0.1081,0.9935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,83.0,113.0,122.0,212.0,480.0,639.0,766.0,1144.0,2458.0,2290.0,9092.0,6774.0,5582.0,9919.0,18415.0,6657.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,72.0,116.0,185.0,397.0,483.0,699.0,858.0,1073.0,2227.0,3046.0,5513.0,9469.0,5958.0,5051.0,15661.0,12651.0,2060.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,389.0,512.0,1001.0,1308.0,4005.0,6720.0,5142.0,2982.0,1245.0,958.0,5612.0,4391.0,2643.0,4277.0,16869.0,7442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-1.094083261,-1.083856246,-0.475369534,-0.273917825,-0.263468301,47.9594,30.4322,170.7747,4.1705,0.7472,0.1144,0.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,108.0,201.0,289.0,570.0,669.0,841.0,966.0,1835.0,1658.0,2203.0,6603.0,12865.0,7146.0,8682.0,15218.0,4195.0,1460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,126.0,246.0,460.0,549.0,750.0,772.0,921.0,1930.0,2265.0,1948.0,5423.0,15067.0,4733.0,6854.0,12996.0,9995.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,188.0,649.0,972.0,1148.0,1983.0,6748.0,3766.0,4557.0,3841.0,797.0,788.0,5457.0,8435.0,4866.0,6214.0,10900.0,4219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,0.013824157,0.162985902,-0.059166165,-0.0019994,-0.004850462,48.4718,26.2124,144.1762,1.7934,0.803,0.1334,0.9973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,154.0,451.0,672.0,1167.0,1151.0,1608.0,2786.0,14434.0,5691.0,11524.0,22250.0,3527.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,222.0,577.0,897.0,1320.0,1357.0,2217.0,2044.0,13689.0,4878.0,10129.0,18175.0,9847.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,192.0,727.0,1677.0,3163.0,3422.0,1941.0,3431.0,1620.0,598.0,3031.0,9730.0,4764.0,8573.0,17918.0,4738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,-0.691207836,-0.668242197,-0.31929327,-0.239928022,-0.106048747,48.8226,29.1857,172.9853,6.3361,0.7536,0.1133,0.9929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,86.0,70.0,97.0,190.0,385.0,640.0,858.0,2156.0,1615.0,2099.0,10168.0,7075.0,6124.0,12812.0,14223.0,5504.0,1216.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,87.0,74.0,134.0,329.0,503.0,659.0,844.0,2128.0,1793.0,1967.0,8188.0,8723.0,6007.0,10209.0,13841.0,8679.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,123.0,232.0,611.0,794.0,1113.0,3846.0,6517.0,5015.0,4129.0,1584.0,1151.0,7894.0,3956.0,3913.0,8479.0,13110.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fresh_day1,0.71885615,0.578599951,0.305011782,0.167949615,0.163813345,45.0083,32.1332,171.2912,2.4048,0.8029,0.111,0.9976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,96.0,70.0,111.0,198.0,231.0,374.0,1006.0,1968.0,2733.0,4085.0,9002.0,11574.0,4121.0,9589.0,12619.0,4339.0,1150.0,1381.0,849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,87.0,76.0,130.0,199.0,262.0,384.0,1022.0,1840.0,4110.0,4867.0,7290.0,10219.0,4260.0,7134.0,13582.0,6755.0,1990.0,1288.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,128.0,335.0,893.0,2448.0,6413.0,4268.0,2338.0,2875.0,2270.0,2258.0,1658.0,5730.0,7504.0,3572.0,7215.0,11030.0,4487.0,87.0,22.0,1.0,0.0,0.0,0.0,0.0
fresh_day1,-0.288332412,-0.252628148,-0.163217007,-0.069979006,-0.02733897,46.7655,31.2877,169.507,4.2236,0.7711,0.1196,0.9949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,111.0,230.0,266.0,350.0,511.0,713.0,1046.0,2023.0,1185.0,1815.0,11793.0,5443.0,10678.0,19444.0,8048.0,1806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,118.0,233.0,285.0,425.0,533.0,685.0,996.0,1952.0,1198.0,1575.0,11217.0,8331.0,9627.0,9647.0,16476.0,2179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,163.0,494.0,633.0,751.0,1979.0,6822.0,7043.0,4935.0,777.0,724.0,1848.0,9414.0,3316.0,6496.0,11662.0,8435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
